,base,system,calc,elst_change_ref,elst_change_FDET
0,/home/ricardi/NEG_GS,7HQ_2MeOH,MC-nopp,-37.92824034451136,-3.142678745121026
1,/home/ricardi/NEG_GS,7HQ_2MeOH,MC-pp_Mulliken,-37.92824034451136,10.76989295124669
2,/home/ricardi/NEG_GS,7HQ_2MeOH,MC-pp_ChelPG,-37.92824034451136,6.722046610910377
3,/home/ricardi/NEG_GS,7HQ_2MeOH,FT-ME,-37.92824034451136,-0.8678629014251484
4,/home/ricardi/NEG_GS,7HQ_formate,MC-nopp,-110.49532820879107,13.78689665540629
5,/home/ricardi/NEG_GS,7HQ_formate,MC-pp_Mulliken,-110.49532820879107,1.3676559707816498
6,/home/ricardi/NEG_GS,7HQ_formate,MC-pp_ChelPG,-110.49532820879107,-5.914074895766344
7,/home/ricardi/NEG_GS,7HQ_formate,FT-ME,-110.49532820879107,-47.71503814614744
8,/home/ricardi/NEG_GS,Uracil_5H2O,MC-nopp,-85.80456843520147,-12.94328115786586
9,/home/ricardi/NEG_GS,Uracil_5H2O,MC-pp_Mulliken,-85.80456843520147,6.92757559813196
10,/home/ricardi/NEG_GS,Uracil_5H2O,MC-pp_ChelPG,-85.80456843520147,17.260375521799446
11,/home/ricardi/NEG_GS,Uracil_5H2O,FT-ME,-85.80456843520147,2.433317536966433
12,/home/ricardi/NEG_GS,XVI_2HCOOH,MC-nopp,-93.0351578734027,-39.259176050328705
13,/home/ricardi/NEG_GS,XVI_2HCOOH,MC-pp_Mulliken,-93.0351578734027,-8.970589098383144
14,/home/ricardi/NEG_GS,XVI_2HCOOH,MC-pp_ChelPG,-93.0351578734027,-18.240408039291534
15,/home/ricardi/NEG_GS,XVI_2HCOOH,FT-ME,-93.0351578734027,-13.461362321966245
