,base,system,calc,E_FDET_MP,kernel_tot,E_FDET_HF,E_ref_HF,E_ref_HF_CP,E_ref_MP,E_ref_MP_CP
0,/home/ricardi/NEG_GS,7HQ_2MeOH,MC-nopp,-0.016916016400031958,0.0012813088926966738,-0.018968232100031984,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
1,/home/ricardi/NEG_GS,7HQ_2MeOH,MC-pp_Mulliken,-0.01689854440001412,0.001282426159275853,-0.018927940000013938,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
2,/home/ricardi/NEG_GS,7HQ_2MeOH,MC-pp_ChelPG,-0.021367315400013173,0.0013067704519917434,-0.02451100610001304,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
3,/home/ricardi/NEG_GS,7HQ_2MeOH,FT-ME,-0.02083790429992216,0.00124141095717823,-0.025575406299922165,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
4,/home/ricardi/NEG_GS,7HQ_formate,MC-nopp,-0.03650277980001981,0.0010642300652234414,-0.036870281600019816,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
5,/home/ricardi/NEG_GS,7HQ_formate,MC-pp_Mulliken,-0.04332419739998006,0.0010534690921505893,-0.045968097199980074,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
6,/home/ricardi/NEG_GS,7HQ_formate,MC-pp_ChelPG,-0.04567751399995904,0.001039911877604603,-0.05033085709995914,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
7,/home/ricardi/NEG_GS,7HQ_formate,FT-ME,-0.04456449190001521,0.0009810516420666062,-0.05355591960001527,-0.05251127330004124,-0.05145076610006072,-0.06375511090004138,-0.05814250800006093
8,/home/ricardi/NEG_GS,Uracil_5H2O,MC-nopp,-0.05006601080004032,0.0024049837455154756,-0.05822245260004029,-0.05332406050001737,-0.05000487810002596,-0.07403827910001737,-0.061545247200025965
9,/home/ricardi/NEG_GS,Uracil_5H2O,MC-pp_Mulliken,-0.055808865199978824,0.0023137240723085754,-0.06541780769997871,-0.05332406050001737,-0.05000487810002596,-0.07403827910001737,-0.061545247200025965
10,/home/ricardi/NEG_GS,Uracil_5H2O,MC-pp_ChelPG,-0.06024770690013642,0.0024069220760043752,-0.07187953170013645,-0.05332406050001737,-0.05000487810002596,-0.07403827910001737,-0.061545247200025965
11,/home/ricardi/NEG_GS,Uracil_5H2O,FT-ME,-0.05891066229994306,0.002275067046517746,-0.07398217409994305,-0.05332406050001737,-0.05000487810002596,-0.07403827910001737,-0.061545247200025965
12,/home/ricardi/NEG_GS,XVI_2HCOOH,MC-nopp,-0.040851710599968075,0.0018283754300273737,-0.04877489399996805,-0.05025593089999347,-0.04754930469999863,-0.06987988609999363,-0.05821792069999843
13,/home/ricardi/NEG_GS,XVI_2HCOOH,MC-pp_Mulliken,-0.049891411299984936,0.0016021847395880902,-0.05995977309998486,-0.05025593089999347,-0.04754930469999863,-0.06987988609999363,-0.05821792069999843
14,/home/ricardi/NEG_GS,XVI_2HCOOH,MC-pp_ChelPG,-0.05122673630026206,0.0017430255236416926,-0.06353433140026185,-0.05025593089999347,-0.04754930469999863,-0.06987988609999363,-0.05821792069999843
15,/home/ricardi/NEG_GS,XVI_2HCOOH,FT-ME,-0.05142069060009141,0.0016654865261049431,-0.06668073580009143,-0.05025593089999347,-0.04754930469999863,-0.06987988609999363,-0.05821792069999843
