,base,system,calc,E_FDET_MP,kernel_tot,E_FDET_HF,E_linFDET_HF,E_ref_HF,E_ref_HF_CP,E_ref_MP,E_ref_MP_CP
0,/home/ricardi/NEG_GS,7HQ_2MeOH,MC-nopp,-10.614851039069254,0.08725205672650936,-11.902622547466372,-11.902622610216678,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
1,/home/ricardi/NEG_GS,7HQ_2MeOH,MC-pp_Mulliken,-10.60388730664206,0.08426875462904296,-11.877339133828746,-11.87733919657905,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
2,/home/ricardi/NEG_GS,7HQ_2MeOH,MC-pp_ChelPG,-13.408054515454467,0.08379267119731293,-15.380729860776485,-15.38072992352679,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
3,/home/ricardi/NEG_GS,7HQ_2MeOH,FT-ME,-13.075847461914057,0.10494655938385208,-16.04864417942006,-16.04864417942006,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437
4,/home/ricardi/NEG_GS,7HQ_formate,MC-nopp,-22.905603832851835,0.02110857950983716,-23.136212314857236,-23.136212314857236,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
5,/home/ricardi/NEG_GS,7HQ_formate,MC-pp_Mulliken,-27.186063841079694,0.016054837777531618,-28.845118897279104,-28.845118897279104,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
6,/home/ricardi/NEG_GS,7HQ_formate,MC-pp_ChelPG,-28.662777067516295,0.015122378084435726,-31.582763822795663,-31.582763822795663,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
7,/home/ricardi/NEG_GS,7HQ_formate,FT-ME,-27.964352360735248,0.0636931723309296,-33.60650021676838,-33.60650021676838,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
8,/home/ricardi/NEG_GS,Uracil_5H2O,MC-nopp,-31.416571975057703,0.21231043585179457,-36.534763673883084,-36.534763673883084,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
9,/home/ricardi/NEG_GS,Uracil_5H2O,MC-pp_Mulliken,-35.02023033958231,0.20110102509657993,-41.049870585159745,-41.049870585159745,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
10,/home/ricardi/NEG_GS,Uracil_5H2O,MC-pp_ChelPG,-37.80561682295631,0.20451790072375015,-45.104621780430726,-45.104621717680416,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
11,/home/ricardi/NEG_GS,Uracil_5H2O,FT-ME,-36.96661732520118,0.21505610588107024,-46.42403619423657,-46.42403619423657,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
12,/home/ricardi/NEG_GS,XVI_2HCOOH,MC-nopp,-25.63457095661177,0.16082666158175288,-30.606392309661956,-30.60639237241226,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
13,/home/ricardi/NEG_GS,XVI_2HCOOH,MC-pp_Mulliken,-31.30701026497445,0.14121123582181666,-37.624937499559806,-37.62493749955979,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
14,/home/ricardi/NEG_GS,XVI_2HCOOH,MC-pp_ChelPG,-32.14493070862335,0.14619157039198794,-39.867983556658515,-39.867983556658515,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
15,/home/ricardi/NEG_GS,XVI_2HCOOH,FT-ME,-32.266637613629165,0.1515089347136204,-41.842361756764774,-41.842361756764774,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
