,base,system,calc,E_FDET_MP,kernel_tot,E_FDET_HF,E_linFDET_HF,E_ref_HF,E_ref_HF_CP,E_ref_MP,E_ref_MP_CP,E_MPk,BSSE
0,/home/ricardi/NEG_GS/cc-pVTZ,7HQ_2MeOH,MC-nopp,-10.6752962068298,0.04034960438914493,-11.847803320664806,-11.847803320664806,-9.798728543827348,-7.945790685441457,-23.538842461301037,-17.858223086579983,-10.715645811218947,5.680619374721054
1,/home/ricardi/NEG_GS/cc-pVTZ,7HQ_2MeOH,MC-pp_Mulliken,-12.64568342517174,0.03839085640728237,-14.239763620485716,-14.239763620485716,-9.798728543827348,-7.945790685441457,-23.538842461301037,-17.858223086579983,-12.684074281579022,5.680619374721054
2,/home/ricardi/NEG_GS/cc-pVTZ,7HQ_2MeOH,MC-pp_ChelPG,-13.21696610969012,0.03720590095670357,-15.052634458001915,-15.052634458001915,-9.798728543827348,-7.945790685441457,-23.538842461301037,-17.858223086579983,-13.254172010646823,5.680619374721054
3,/home/ricardi/NEG_GS/cc-pVTZ,7HQ_2MeOH,FT-ME,-13.080708100153347,0.051455568376951234,-15.645346307063193,-15.645346307063193,-9.798728543827348,-7.945790685441457,-23.538842461301037,-17.858223086579983,-13.132163668530298,5.680619374721054
4,/home/ricardi/NEG_GS/cc-pVTZ,7HQ_formate,MC-nopp,-25.783997681226346,0.0022235001121246926,-25.98708419540334,-25.98708419540334,-36.03845805983035,-33.72250707287673,-45.53211855288147,-39.521198165069954,-25.78622118133847,6.010920387811517
5,/home/ricardi/NEG_GS/cc-pVTZ,7HQ_formate,MC-pp_Mulliken,-29.82646927018549,0.002659230524244202,-31.23000705004433,-31.23000705004433,-36.03845805983035,-33.72250707287673,-45.53211855288147,-39.521198165069954,-29.829128500709736,6.010920387811517
6,/home/ricardi/NEG_GS/cc-pVTZ,7HQ_formate,MC-pp_ChelPG,-30.764843405964125,0.002922842776267428,-32.705746642888535,-32.705746642888535,-36.03845805983035,-33.72250707287673,-45.53211855288147,-39.521198165069954,-30.767766248740394,6.010920387811517
7,/home/ricardi/NEG_GS/cc-pVTZ,7HQ_formate,FT-ME,-30.54470292899518,0.03366062159212139,-34.33928121481869,-34.33928121481869,-36.03845805983035,-33.72250707287673,-45.53211855288147,-39.521198165069954,-30.5783635505873,6.010920387811517
8,/home/ricardi/NEG_GS/cc-pVTZ,Uracil_5H2O,MC-nopp,-32.16390621092485,0.11888996356823625,-37.211591358918746,-37.211591358918746,-36.29330039395494,-31.858481801231306,-51.87974870473298,-40.07812194937782,-32.282796174493086,11.801626755355166
9,/home/ricardi/NEG_GS/cc-pVTZ,Uracil_5H2O,MC-pp_Mulliken,-37.229045982418825,0.11209800321814437,-43.888018022739665,-43.888018022739665,-36.29330039395494,-31.858481801231306,-51.87974870473298,-40.07812194937782,-37.34114398563697,11.801626755355166
10,/home/ricardi/NEG_GS/cc-pVTZ,Uracil_5H2O,MC-pp_ChelPG,-37.83271051995516,0.11095613561238933,-44.88800467003394,-44.88800467003394,-36.29330039395494,-31.858481801231306,-51.87974870473298,-40.07812194937782,-37.94366665556755,11.801626755355166
11,/home/ricardi/NEG_GS/cc-pVTZ,Uracil_5H2O,FT-ME,-37.38771406928202,0.1017478097263226,-46.08903625052979,-46.08903625052979,-36.29330039395494,-31.858481801231306,-51.87974870473298,-40.07812194937782,-37.48946187900834,11.801626755355166
12,/home/ricardi/NEG_GS/cc-pVTZ,XVI_2HCOOH,MC-nopp,,,,,-32.31681927946876,-30.21471114934789,-44.370626877708794,-37.235983592773856,,7.134643284934938
13,/home/ricardi/NEG_GS/cc-pVTZ,XVI_2HCOOH,MC-pp_Mulliken,,,,,-32.31681927946876,-30.21471114934789,-44.370626877708794,-37.235983592773856,,7.134643284934938
14,/home/ricardi/NEG_GS/cc-pVTZ,XVI_2HCOOH,FT-ME,,,,,-32.31681927946876,-30.21471114934789,-44.370626877708794,-37.235983592773856,,7.134643284934938
